
	38
 	186
,	12
-	2
.	30
:	1
?	8
A	3
B	2
E	3
G	2
I	16
J	1
M	3
N	2
O	1
T	8
W	6
Y	13
a	64
b	12
c	12
d	49
e	83
f	16
g	10
h	34
i	52
j	2
k	14
l	28
m	17
n	36
o	64
p	11
r	38
s	50
t	65
u	38
v	3
w	18
y	23
Ä	47
ô	6
ú	18
ù	18
¶	5
‚	47

==========


	19
 	191
!	1
,	14
.	25
?	5
A	3
D	2
H	1
I	11
M	1
N	3
O	1
S	5
T	3
W	3
Y	7
a	59
b	13
c	12
d	25
e	101
f	15
g	23
h	42
i	59
j	3
k	7
l	50
m	18
n	43
o	65
p	10
r	56
s	35
t	60
u	26
v	11
w	27
x	2
y	25
Ä	45
ô	11
ú	17
ù	17
‚	45

==========


	15
 	203
,	13
.	21
0	1
4	2
5	1
8	1
?	4
A	4
B	1
C	1
D	1
H	1
I	10
L	1
O	2
S	1
T	3
W	3
Y	6
a	55
b	11
c	21
d	24
e	111
f	23
g	20
h	37
i	62
k	8
l	32
m	27
n	69
o	72
p	9
r	47
s	53
t	68
u	38
v	8
w	12
x	3
y	25
Ä	29
ô	9
ú	11
ù	9
‚	29

==========


	28
 	183
!	1
,	12
.	20
?	10
A	2
B	2
D	1
H	1
I	12
J	1
N	2
O	1
S	4
T	2
W	4
Y	4
a	60
b	6
c	9
d	23
e	107
f	16
g	10
h	32
i	54
j	2
k	9
l	44
m	19
n	59
o	68
p	12
q	1
r	39
s	43
t	79
u	39
v	8
w	20
y	24
Ä	48
ô	12
ú	17
ù	18
¶	1
‚	48

==========


	37
 	170
,	15
.	26
?	7
A	6
B	3
E	3
H	1
I	9
J	2
L	1
N	3
O	2
S	1
W	4
Y	9
a	39
b	9
c	14
d	32
e	100
f	11
g	13
h	29
i	46
j	1
k	7
l	42
m	28
n	44
o	82
p	7
r	39
s	33
t	38
u	45
v	20
w	17
x	3
y	39
z	2
Ä	59
ô	18
ú	20
ù	20
¶	1
‚	59

==========

