i: 		0000
l: 		00010
E: 		00011000
O: 		0001100100
S: 		0001100101
N: 		000110011
T: 		0001101
v: 		00011100
-: 		000111010
B: 		000111011
G: 		000111100
:: 		0001111010
J: 		0001111011
M: 		00011111
.: 		00100
I: 		001010
ù: 		001011
t: 		0011
o: 		0100
?: 		0101000
j: 		010100100
A: 		010100101
¶: 		01010011
f: 		010101
ú: 		010110
w: 		010111
a: 		0110
n: 		01110
h: 		01111

: 		10000
u: 		10001
r: 		10010
m: 		100110
p: 		1001110
W: 		10011110
ô: 		10011111
e: 		1010
‚: 		10110
Ä: 		10111
 : 		110
d: 		11100
s: 		11101
y: 		111100
g: 		1111010
b: 		1111011
Y: 		1111100
,: 		1111101
c: 		1111110
k: 		1111111
