
	38
 	201
,	13
-	2
.	32
:	1
?	8
A	3
B	2
E	3
G	2
I	16
J	1
M	4
N	2
O	1
S	1
T	8
W	6
Y	13
a	74
b	13
c	14
d	49
e	90
f	18
g	13
h	38
i	54
j	2
k	14
l	30
m	22
n	38
o	71
p	11
r	44
s	51
t	69
u	41
v	4
w	19
y	26
Ä	47
ô	6
ú	18
ù	18
¶	5
‚	47

==========


	20
 	205
!	1
,	15
.	25
?	5
A	4
D	2
H	1
I	12
N	3
O	1
S	4
T	3
W	3
Y	8
a	62
b	15
c	15
d	30
e	101
f	15
g	25
h	42
i	69
j	3
k	9
l	54
m	18
n	56
o	70
p	13
r	53
s	41
t	65
u	31
v	10
w	27
x	2
y	27
Ä	46
ô	11
ú	18
ù	17
‚	46

==========


	18
 	214
,	15
.	24
0	1
4	2
5	1
8	1
?	4
A	3
B	2
C	1
D	1
H	1
I	12
L	1
O	3
S	2
T	3
W	3
Y	5
a	54
b	9
c	20
d	27
e	123
f	23
g	16
h	40
i	61
k	9
l	37
m	25
n	67
o	74
p	8
r	51
s	53
t	83
u	39
v	9
w	19
x	3
y	25
Ä	37
ô	12
ú	13
ù	12
‚	37

==========


	40
 	182
!	1
,	12
.	20
?	14
A	6
B	2
D	1
H	2
I	14
J	3
L	1
N	2
O	1
S	3
T	2
W	5
Y	5
a	59
b	8
c	8
d	26
e	114
f	15
g	11
h	36
i	55
j	2
k	9
l	50
m	23
n	58
o	74
p	13
q	1
r	44
s	43
t	62
u	37
v	13
w	17
y	26
Ä	61
ô	16
ú	22
ù	22
¶	1
‚	61

==========


	38
 	191
,	16
-	1
.	28
:	2
?	3
A	4
B	4
D	7
E	6
F	1
H	1
I	4
K	2
N	5
O	1
S	2
T	2
U	2
W	4
Y	8
Z	1
a	48
b	15
c	17
d	32
e	121
f	16
g	20
h	33
i	56
j	1
k	5
l	34
m	28
n	60
o	73
p	6
r	54
s	51
t	55
u	50
v	15
w	18
x	3
y	34
z	7
Ä	37
ô	11
ú	12
ù	13
§	1
¶	1
∂	2
√	3
‚	38

==========


	30
 	183
,	4
-	1
.	30
?	8
A	3
B	1
D	23
E	1
F	7
G	7
H	3
I	14
J	4
K	4
L	2
M	6
N	2
O	1
R	1
S	6
T	1
V	1
W	5
Z	1
a	62
b	11
c	41
d	28
e	122
f	6
g	30
h	59
i	85
k	4
l	16
m	11
n	70
o	16
p	11
r	59
s	59
t	65
u	36
w	15
z	3
Ä	44
ú	20
ù	19
ü	1
§	3
¶	5
∂	1
º	2
√	7
‚	43

==========


	18
 	186
!	1
,	14
.	19
?	5
A	5
B	3
D	16
E	6
F	1
G	2
H	3
I	5
K	1
L	3
N	3
O	1
R	2
S	3
T	1
U	1
W	5
a	50
b	12
c	32
d	29
e	147
f	13
g	29
h	50
i	89
j	2
k	4
l	40
m	13
n	94
o	20
p	6
r	62
s	71
t	56
u	30
v	4
w	16
y	1
z	7
Ä	32
ú	16
ù	16
ü	1
§	2
¥	1
∂	5
º	4
¬	1
√	12
‚	32

==========


	16
 	201
,	19
.	20
0	1
4	2
5	1
8	1
?	4
A	2
B	2
C	1
D	23
E	3
F	1
G	2
I	4
J	1
K	1
L	2
M	3
N	1
O	2
R	1
S	2
T	2
U	3
V	1
W	5
Z	2
a	46
b	12
c	30
d	28
e	155
f	7
g	22
h	48
i	85
j	1
k	11
l	30
m	20
n	95
o	20
r	53
s	81
t	57
u	34
v	9
w	24
x	1
z	9
Ä	24
ì	1
ú	11
ù	12
ü	3
§	3
∂	1
º	5
√	12
‚	24

==========


	26
 	184
!	1
,	9
.	18
?	11
A	5
D	15
E	4
F	1
G	2
I	11
J	1
K	2
L	4
M	3
N	3
P	2
S	2
U	5
V	1
W	3
Z	1
a	59
b	20
c	29
d	47
e	144
f	14
g	23
h	39
i	71
j	1
k	4
l	25
m	23
n	97
o	6
p	4
r	69
s	83
t	55
u	35
v	4
w	12
y	1
z	5
Ä	33
ú	16
ù	16
ü	2
§	2
¶	1
∂	2
º	4
√	10
‚	33

==========


	36
 	185
,	13
.	26
?	7
A	4
B	1
D	22
E	2
F	2
G	1
H	1
I	5
J	6
K	1
L	3
M	4
N	2
O	1
R	1
S	1
T	1
U	5
W	8
Z	3
a	45
b	21
c	38
d	36
e	134
f	10
g	22
h	48
i	78
j	8
k	9
l	29
m	21
n	77
o	17
p	1
r	46
s	63
t	66
u	38
v	4
w	12
z	5
Ä	40
ú	19
ù	19
§	2
¶	2
∂	1
º	4
√	7
‚	40

==========

