
	44
 	195
,	6
-	2
.	31
:	2
?	8
A	3
B	3
D	25
E	4
F	6
G	6
H	4
I	12
J	4
K	5
L	2
M	3
N	4
O	1
R	1
S	5
T	3
U	2
W	6
Z	1
a	69
b	19
c	36
d	31
e	123
f	10
g	33
h	57
i	78
k	2
l	13
m	15
n	71
o	24
p	11
r	66
s	73
t	75
u	37
v	1
w	14
y	2
z	6
Ä	41
ú	18
ù	18
§	1
¶	5
∂	3
º	2
√	6
‚	41

==========


	18
 	195
!	1
,	16
.	22
?	5
A	7
B	3
D	14
E	5
F	3
G	2
H	3
I	6
K	2
L	2
M	3
N	3
O	1
R	2
S	3
T	1
U	1
V	1
W	5
Z	1
a	53
b	12
c	34
d	33
e	162
f	13
g	28
h	57
i	96
j	1
k	5
l	45
m	15
n	93
o	21
p	8
r	66
s	70
t	56
u	35
v	3
w	22
y	1
z	8
Ä	33
ú	17
ù	16
ü	1
§	5
¥	1
∂	3
º	4
¬	1
√	13
‚	33

==========


	16
 	212
,	17
.	20
0	1
4	2
5	1
8	1
?	4
A	2
B	2
C	1
D	27
E	4
F	1
G	3
I	4
J	1
K	1
L	3
M	3
N	1
O	1
R	1
S	4
T	2
U	2
V	1
W	5
Z	2
a	50
b	11
c	34
d	27
e	166
f	9
g	25
h	50
i	98
j	2
k	13
l	36
m	19
n	117
o	21
r	62
s	79
t	59
u	37
v	9
w	19
x	1
z	10
Ä	22
ú	11
ù	11
ü	3
§	3
∂	2
º	4
√	12
‚	22

==========


	26
 	199
,	12
.	19
?	10
A	5
D	17
E	4
F	1
G	2
I	10
K	1
L	4
M	3
N	3
O	1
P	2
S	2
U	6
V	1
W	3
Z	1
a	60
b	21
c	32
d	51
e	155
f	14
g	25
h	44
i	76
j	1
k	4
l	22
m	23
n	99
o	7
p	3
r	74
s	93
t	61
u	36
v	5
w	18
y	1
z	4
Ä	34
ì	1
ú	16
ù	16
ü	3
§	2
¶	1
∂	3
º	5
√	13
‚	34

==========


	38
 	198
!	1
,	13
.	28
?	8
A	4
B	1
D	23
E	2
F	2
G	1
H	1
I	7
J	7
K	2
L	3
M	4
N	2
O	1
R	1
S	1
T	1
U	5
W	8
Z	3
a	50
b	22
c	40
d	37
e	143
f	10
g	24
h	51
i	82
j	8
k	9
l	33
m	23
n	81
o	17
p	2
r	48
s	67
t	72
u	40
v	4
w	12
z	6
Ä	43
ú	20
ù	21
§	2
¶	2
∂	1
º	4
√	7
‚	43

==========

