
	54
 	333
,	25
-	2
.	50
:	1
?	12
A	5
B	2
D	2
E	3
G	2
H	1
I	25
J	1
M	4
N	4
O	2
S	4
T	11
W	9
Y	18
a	110
b	20
c	22
d	67
e	161
f	29
g	29
h	68
i	98
j	3
k	19
l	67
m	30
n	67
o	117
p	18
r	85
s	75
t	109
u	58
v	11
w	41
y	43
Ä	85
ô	15
ú	33
ù	32
¶	5
‚	85

==========


	30
 	352
!	1
,	21
.	36
0	1
4	2
5	1
8	1
?	10
A	6
B	2
C	1
D	1
H	2
I	19
L	1
N	1
O	3
S	6
T	4
W	4
Y	9
a	100
b	19
c	28
d	45
e	194
f	36
g	29
h	66
i	111
j	2
k	17
l	73
m	40
n	116
o	124
p	22
q	1
r	75
s	90
t	133
u	61
v	15
w	30
x	5
y	43
Ä	61
ô	20
ú	21
ù	20
‚	61

==========


	70
 	308
!	1
,	25
-	1
.	43
:	2
?	12
A	9
B	6
D	8
E	6
F	1
H	2
I	14
J	3
K	2
L	1
N	7
O	2
S	2
T	3
U	2
W	8
Y	12
Z	1
a	87
b	21
c	24
d	52
e	194
f	22
g	27
h	55
i	86
j	3
k	10
l	65
m	46
n	96
o	121
p	11
r	86
s	74
t	92
u	79
v	25
w	29
x	3
y	52
z	7
Ä	83
ô	21
ú	29
ù	30
§	1
¶	2
∂	2
√	3
‚	83

==========


	44
 	304
,	16
-	1
.	44
?	13
A	8
B	3
D	30
E	4
F	8
G	8
H	6
I	17
J	4
K	5
L	3
M	6
N	4
O	2
R	3
S	7
T	2
U	1
V	1
W	9
Z	1
a	93
b	20
c	61
d	50
e	218
f	15
g	46
h	93
i	143
j	1
k	6
l	43
m	21
n	116
o	32
p	17
r	100
s	110
t	101
u	53
w	29
y	1
z	9
Ä	69
ú	33
ù	32
ü	1
§	4
¶	5
¥	1
∂	4
º	6
¬	1
√	15
‚	69

==========


	26
 	326
!	1
,	25
.	31
0	1
4	2
5	1
8	1
?	8
A	3
B	3
C	1
D	34
E	8
F	1
G	4
I	7
J	1
K	2
L	5
M	3
N	2
O	2
P	2
R	1
S	4
T	2
U	5
V	1
W	7
Z	3
a	90
b	24
c	51
d	56
e	248
f	16
g	44
h	76
i	137
j	2
k	14
l	52
m	29
n	177
o	26
p	2
r	100
s	132
t	98
u	54
v	13
w	34
x	1
z	12
Ä	39
ì	1
ú	19
ù	19
ü	4
§	6
∂	4
º	8
√	22
‚	39

==========


	57
 	309
!	1
,	18
.	39
?	14
A	8
B	1
D	35
E	4
F	3
G	2
H	1
I	15
J	7
K	2
L	6
M	7
N	5
O	1
R	1
S	3
T	1
U	8
V	1
W	10
Z	3
a	79
b	32
c	58
d	62
e	236
f	19
g	36
h	75
i	128
j	9
k	12
l	45
m	38
n	140
o	21
p	3
r	89
s	115
t	100
u	66
v	8
w	16
y	1
z	8
Ä	64
ú	30
ù	31
ü	2
§	2
¶	3
∂	2
º	5
√	11
‚	64

==========

